Gènere,Edat,Compra,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10
Dona,19,Ambdues opcions per igual,OS322S0A0-Q11@20.1,FA522S00M-Q11@10,NE222O00T-A11@8,PU142D0NM-Q11@10,PS722O01N-A11@8,HU722O03K-A11@7,ZK121J01D-A11@8.1,TO722S08M-N11@10,2NA21J0K0-M11@1.2,2NA22S08D-M11@1.1
Home,19,Físicament en botiga,OD142G00W-K11@10,UM422O00H-A11@13.1,SO222S08C-Q11@6.1,TO222P04G-K11@10,GS122S06V-N11@10,2NA22S0A0-C11@1.1,M0M22O0B5-Q11@7,1FI21J009-C11@11,NI122O0AV-K11@12,TO721J069-A11@10.1
Dona,19,Ambdues opcions per igual,TO122S04L-K12@9,OS322S0A0-Q11@20.1,LY222S01H-K11@8,LA222S02G-K11@10,SU222S0OJ-G11@18.1,M0M22O0B5-Q11@7,NE222O00T-A11@8,WO322S00J-J11@4,SO222O0OC-G11@17,OS322O0KP-A11@15.1
Home,19,Online,SU222S0SG-K11@21,PU142D0NM-Q11@10,TO222D03U-K13@10,2NA22S0A0-C11@1.1,H0422O01W-Q11@8,GU122O0AD-M11@9,ON321J0HR-J11@4,TOB22S01Q-K11@11.1,TH342D00W-A11@10,TO122S04L-K12@9
Home,21,Físicament en botiga,NE222O00T-A11@8,CO422S03F-K11@9,PI922SA08-K12@12.1,TO222D03U-K13@10,SU222S0S3-Q11@15,TO722S08M-N11@10,UR622J001-K13@8,QS121J044-J11@12.1,QS121J048-C11@19,SU222S0PL-G11@16
Dona,19,Online,UR622J001-K13@8,SU222S0SG-K11@21,SO222S08C-Q11@6.1,4BE22O03S-C11@10,SO222O0NQ-K11@11,HU722O03K-A11@7,WO322S00J-J11@4,NI121J088-M11@10,SU222S0PL-G11@16,SU222S0S3-Q11@15
Home,19,Físicament en botiga,TO222P043-Q11@8,C1422S038-K11@13.1,TO722O0NL-K11@10,LE222O03E-A11@8,HU722O03K-A11@7,M0M22O0B5-Q11@7,UR622J001-K13@8,PI922SA08-K12@12.1,UR622O01U-M11@9,SU221J0TJ-K11@8
Dona,19,Ambdues opcions per igual,OS322S0A0-Q11@20.1,TOB22S01Q-K11@11.1,ON321J0HR-J11@4,SU222S0S3-Q11@15,4BE22O03S-C11@10,PU142D0NM-Q11@10,SU221J0TJ-K11@8,UR622O01U-M11@9,2NA21J0LP-K11@1.1,SU222S0PL-G11@16
Home,21,Físicament en botiga,SO222S08C-Q11@6.1,LA222S02G-K11@10,NI121J088-M11@10,NA622S02J-C11@18.1,WEB21J001-O11@4,UR622O02B-C11@1.2,ZK121J01D-A11@8.1,M0M22O0B5-Q11@7,M0M22O0A3-A11@1.1,SU222S0S3-Q11@15
Home,19,Físicament en botiga,C2342D00U-G11@8,TH342D00W-A11@10,NI122S08O-N11@8,UR622J001-K13@8,LE222S01C-M11@10,TO222D03U-K13@10,NI122O0AR-B11@8,TO222P04H-K11@10,PU142D0NM-Q11@10,ON321J0HR-J11@4
Home,21,Físicament en botiga,PS722O01N-A11@8,GU122O0AD-M11@9,P6822O06D-C11@10.1,TO222P04H-K11@10,NI122O0AV-K11@12,HU722O03K-A11@7,ZK121J01D-A11@8.1,QS121J048-C11@19,SO222O0OS-C11@20,2NA21J0LP-K11@1.1
Home,19,Físicament en botiga,OS322S0A0-Q11@20.1,NA621J020-C11@10,NI121J08I-C11@15,NA622S02J-C11@18.1,ON321J0HR-J11@4,M0M22O00C-A11@10,PU142D0NM-Q11@10,H0421J011-K11@8,LY222S01H-K11@8,2NA21J0LP-K11@1.1
Home,19,Físicament en botiga,UR622J001-K13@8,TH342D00W-A11@10,TO222D03U-K13@10,MOQ21J005-Q11@10,NI122O0AR-B11@8,TO222P043-Q11@8,NE222O00T-A11@8,M0M22O00C-A11@10,SU222S0PL-G11@16,NI121J088-M11@10
Altres,19,Ambdues opcions per igual,SU222O15O-K11@16.1,TO122S04L-K12@9,EV421J060-Q11@7,ON321J0HR-J11@4,HU722O03K-A11@7,PE1210001-A11@2.1,MOQ21J005-Q11@10,UR622O02B-C11@1.2,QS121J044-J11@12.1,UR622O02B-G11@1.1
Home,19,Físicament en botiga,TO222P04H-K11@10,FA522S00M-Q11@10,TO722O0NL-K11@10,P6822O06D-C11@10.1,PI922SA08-K12@12.1,UR622J001-K13@8,NI122O0D4-C11@1.1,1FI22S00V-A11@10,JA222S12S-G11@8,MOQ21J005-Q11@10
Dona,19,Físicament en botiga,TO122S04L-K12@9,NI121J08I-C11@15,1FI21J009-C11@11,MOQ21J005-Q11@10,2NA22S09W-C12@1.1,UR622J001-K13@8,P6822O06D-C11@10.1,M0M22S03N-Q11@1.1,TO721J069-A11@10.1,JU621J00H-Q11@8
Home,19,Físicament en botiga,WEB21J001-O11@4,TO722O0NL-K11@10,HU722O03K-A11@7,TO222P04G-K11@10,DRI22O00C-J11@16.2,JU621J00H-Q11@8,ON321J0HR-J11@4,QS121J044-J11@12.1,UM422O00H-A11@13.1,S3422O06B-Q11@8
Dona,21,Online,LE222S01C-M11@10,M0M22O0B5-Q11@7,YO122O0G2-A11@10,HOS21J000-C11@16,NA621J020-C11@10,NI122S08O-N11@8,JA222S12S-G11@8,OD142G00W-K11@10,PS722O01N-A11@8,SU222S0PL-G11@16
Home,20,Online,TI122O013-K12@7,SO222S08C-Q11@6.1,SU222S0SG-K11@21,GU122O0AD-M11@9,SO222O0OC-G11@17,WEB21J001-O11@4,SU222S0S3-Q11@15,PU142G05Q-M11@10.1,ON321J0HR-J11@4,2NA21J0LP-K11@1.1
Dona,19,Físicament en botiga,M0M22O00C-A11@10,SU222S0SG-K11@21,SW822O003-K11@8,S3422O06B-Q11@8,ED122S05K-C11@12.1,TO222P04H-K11@10,PU121J03T-K11@10,H0421J011-K11@8,1VJ22S01Z-Q11@8,QS121J048-C11@19
Dona,20,Físicament en botiga,OD142G00W-K11@10,QS122S02Q-C11@11,SU221J0TJ-K11@8,H0422O01W-Q11@8,UM422O00H-A11@13.1,MOQ21J005-Q11@10,2NA22S09W-C12@1.1,TO721J069-A11@10.1,SU222S0SG-K11@21,JU621J00H-Q11@8
Home,19,Físicament en botiga,FA522S00M-Q11@10,SU222S0OJ-G11@18.1,H0421J011-K11@8,2NA22S0A0-C11@1.1,2NA21J0M4-M12@1.1,ZK121J01D-A11@8.1,LE222O03E-A11@8,TO222P04H-K11@10,M0M22O00C-A11@10,1FI22S00V-A11@10
Dona,19,Online,TH342D00W-A11@10,NI121J086-N11@16,M0M22O0A3-A11@1.1,C2342D00U-G11@8,DC122O052-Q11@14.2,M0M22S03N-Q11@1.1,UR622O02B-C11@1.2,JU621J00H-Q11@8,NI122O0AV-K11@12,ON321J0HR-J11@4
Dona,19,Físicament en botiga,PU121J03T-K11@10,TO222P04H-K11@10,GS122S06V-N11@10,GP022Q01V-G11@10,TI122O013-K12@7,PE1210001-A11@2.1,UR622O02B-C11@1.2,GS122O0G0-Q11@12.1,SO222O0OC-G11@17,QS121J048-C11@19
Home,20,Físicament en botiga,M0M22O0B5-Q11@7,LE222O03E-A11@8,PO222O05F-C11@7,PU142G05Q-M11@10.1,QS122S02Q-C11@11,GU122O0AD-M11@9,JU621J00H-Q11@8,GS122O0G0-Q11@12.1,2NA22S08D-M11@1.1,UR622O02B-G11@1.1
Home,19,Ambdues opcions per igual,PO221I04D-K11@8,WEB21J001-O11@4,S3422O06B-Q11@8,DRI22O00C-J11@16.2,SO222S08C-Q11@6.1,PU142D0NM-Q11@10,GU122O0AD-M11@9,ED122S05K-C11@12.1,1FI21J009-C11@11,TO222P04H-K11@10
Home,21,Físicament en botiga,LY222S01H-K11@8,WO322S00J-J11@4,PU121J03T-K11@10,1VJ22S01Z-Q11@8,ON321J0HR-J11@4,SU221J0TJ-K11@8,SU222O15O-K11@16.1,NI122O0AR-B11@8,2NA22S08D-M11@1.1,2NA21J0LP-K11@1.1
Home,21,Ambdues opcions per igual,NI121J088-M11@10,LY222S01H-K11@8,WO322S00J-J11@4,GU122O0AD-M11@9,PU142D0NM-Q11@10,YO122O0G2-A11@10,TO722O0NL-K11@10,GS122S06V-N11@10,ON321J0HR-J11@4,OS322O0KP-A11@15.1
Home,20,Online,TI122O013-K12@7,PE1210001-A11@2.1,LY222S01H-K11@8,JAL22S000-C11@7,GU122O0AD-M11@9,TH321J004-Q11@8,H0421J011-K11@8,JU621J00H-Q11@8,QS121J044-J11@12.1,2NA22S08D-M11@1.1
Home,20,Físicament en botiga,M0M22O00C-A11@10,GU122O0AD-M11@9,UR622O02B-C11@1.2,NI121J088-M11@10,LA222S02G-K11@10,TO222D03U-K13@10,DC122O052-Q11@14.2,QS121J048-C11@19,SU221J0TJ-K11@8,SU222S0PL-G11@16
Home,20,Ambdues opcions per igual,M0M22O0B5-Q11@7,SO222S08C-Q11@6.1,SW822O003-K11@8,NI122S08O-N11@8,PS722O01N-A11@8,1FI21J009-C11@11,TO222D03U-K13@10,SU221J0TJ-K11@8,OS322O0KP-A11@15.1,2NA21J0LP-K11@1.1
Home,21,Físicament en botiga,LE222S01C-M11@10,PI922SA08-K12@12.1,UR622O02B-C11@1.2,2NA22S0A0-C11@1.1,2NA22S08D-M11@1.1,TO722O0NL-K11@10,1FI21J009-C11@11,PU142G05Q-M11@10.1,NI121J08I-C11@15,2NA21J0K0-M11@1.2
Dona,22,Físicament en botiga,FA522S00M-Q11@10,NA622S02J-C11@18.1,PS722O01N-A11@8,TO222D03U-K13@10,SO222O0OS-C11@20,JA222S12S-G11@8,NI121J08I-C11@15,NI121J086-N11@16,UR622O02B-G11@1.1,SU222S0PL-G11@16
Dona,20,Ambdues opcions per igual,1FI21J009-C11@11,FA522S00M-Q11@10,PI922SA08-K12@12.1,C2342D00U-G11@8,DC122O052-Q11@14.2,C1822S032-G11@13.2,GS122S06V-N11@10,NI122S08O-N11@8,SO222S08C-Q11@6.1,2NA21J0K0-M11@1.2
Dona,22,Online,GU122O0AD-M11@9,FA522S00M-Q11@10,SO222S08C-Q11@6.1,P6822O06D-C11@10.1,DRI22O00C-J11@16.2,WEB21J001-O11@4,SW822O003-K11@8,EV421J060-Q11@7,2NA21J0LP-K11@1.1,CO422S03F-K11@9
Home,21,Online,M0M22S03N-Q11@1.1,SU221J0TJ-K11@8,1FI22S00V-A11@10,P6822O06D-C11@10.1,H0422O01W-Q11@8,PO222O05F-C11@7,TO721J069-A11@10.1,SU222O15O-K11@16.1,WO322S00J-J11@4,ON321J0HR-J11@4
Altres,21,Ambdues opcions per igual,PI922SA08-K12@12.1,TO222P043-Q11@8,WEB21J001-O11@4,GP022Q01V-G11@10,UR622O01U-M11@9,HOS21J000-C11@16,H0422O01W-Q11@8,DRI22O00C-J11@16.2,CO422S03F-K11@9,M0M22S03N-Q11@1.1
Home,20,Ambdues opcions per igual,UR622J001-K13@8,LE422S00X-Q11@8,TH342D00W-A11@10,C2342D00U-G11@8,EV421J060-Q11@7,LE222O03E-A11@8,LY222S01H-K11@8,MOQ21J005-Q11@10,NI122O0AR-B11@8,1VJ22S01Z-Q11@8
Home,22,Online,NE222O00T-A11@8,P6822O06D-C11@10.1,NA621J020-C11@10,ZK121J01D-A11@8.1,JAL22S000-C11@7,1FI21J009-C11@11,ON321J0HR-J11@4,SU221J0TJ-K11@8,SW822O003-K11@8,MOQ21J005-Q11@10
Home,21,Ambdues opcions per igual,NI121J088-M11@10,TO222P043-Q11@8,GU122O0AD-M11@9,LA222S02G-K11@10,NI122O0AV-K11@12,4BE22O03S-C11@10,2NA22S0A0-C11@1.1,TH321J004-Q11@8,HU722O03K-A11@7,UR622O01U-M11@9
Home,21,Físicament en botiga,PO221I04D-K11@8,LE222S01C-M11@10,P6822O06D-C11@10.1,JA222S12S-G11@8,2NA22S08D-M11@1.1,H0422O01W-Q11@8,NI121J086-N11@16,QS122S02Q-C11@11,OD142G00W-K11@10,S3422O06B-Q11@8
Dona,21,Ambdues opcions per igual,H0421J011-K11@8,TO122S04L-K12@9,SU222S0SG-K11@21,PS722O01N-A11@8,HOS21J000-C11@16,EA722O003-A11@8,NI121J08I-C11@15,GS122S06V-N11@10,P6822O06D-C11@10.1,WO322S00J-J11@4
Home,20,Físicament en botiga,TH342D00W-A11@10,2NA22S0A0-C11@1.1,DRI22O00C-J11@16.2,LE422S00X-Q11@8,NE222O00T-A11@8,TH321J004-Q11@8,M0M22O0B5-Q11@7,DC122O052-Q11@14.2,QS121J048-C11@19,NI122O0AV-K11@12
Home,21,Físicament en botiga,GS122O0G0-Q11@12.1,SU222S0OJ-G11@18.1,PO221I04D-K11@8,PI922SA08-K12@12.1,LE222O03E-A11@8,C2342D00U-G11@8,TI122O013-K12@7,LE422S00X-Q11@8,2NA21J0K0-M11@1.2,TO722O0NL-K11@10
Home,21,Físicament en botiga,TO222P04H-K11@10,NI121J08I-C11@15,TO222D03U-K13@10,NI122O0AR-B11@8,GS122O0G0-Q11@12.1,TO722O0NL-K11@10,QS122S02Q-C11@11,WO322S00J-J11@4,PU121J03T-K11@10,HOS21J000-C11@16
Dona,22,Físicament en botiga,SU222S0SG-K11@21,TO222P043-Q11@8,OS322S0A0-Q11@20.1,LA222S02G-K11@10,C2342D00U-G11@8,SO222S08C-Q11@6.1,GS122O0G0-Q11@12.1,S3422O06B-Q11@8,2NA21J0M4-M12@1.1,OS322O0KP-A11@15.1
Dona,21,Físicament en botiga,LY222S01H-K11@8,NA622S02J-C11@18.1,P6822O06D-C11@10.1,CO422S03F-K11@9,PE1210001-A11@2.1,SO222O0NQ-K11@11,1FI22S00V-A11@10,SU222S0PL-G11@16,GS122O0G0-Q11@12.1,WEB21J001-O11@4
Home,1,Online,2NA22S09W-C12@1.1,TI122O013-K12@7,NI121J08I-C11@15,LA222S02G-K11@10,1FI22S00V-A11@10,SU222S0OJ-G11@18.1,QS121J044-J11@12.1,NI121J088-M11@10,SW822O003-K11@8,UR622O02B-C11@1.2
Dona,21,Físicament en botiga,1FI21J009-C11@11,TH342D00W-A11@10,PU121J03T-K11@10,OS322O0KP-A11@15.1,LE422S00X-Q11@8,SU222S0S3-Q11@15,JA222S12S-G11@8,SO222S08C-Q11@6.1,QS121J048-C11@19,TO222P04H-K11@10
Dona,39,Físicament en botiga,ON321J0HR-J11@4,NA621J020-C11@10,TH342D00W-A11@10,LE222S01C-M11@10,NI122S08O-N11@8,TO222P04H-K11@10,UR622O01U-M11@9,C1422S038-K11@13.1,LA222S02G-K11@10,M0M22O0B5-Q11@7
Dona,22,Físicament en botiga,SO222S08C-Q11@6.1,TO722O0NL-K11@10,PO221I04D-K11@8,LE222O03E-A11@8,2NA22S08D-M11@1.1,QS121J044-J11@12.1,DC122O052-Q11@14.2,GP022Q01V-G11@10,2NA21J0LP-K11@1.1,1FI21J009-C11@11
Home,30,Físicament en botiga,PU121J03T-K11@10,NI122S08O-N11@8,SO222O0OC-G11@17,SW822O003-K11@8,NI122O0AV-K11@12,NE222O00T-A11@8,TI122O013-K12@7,GS122O0G0-Q11@12.1,TO222P04G-K11@10,TH321J004-Q11@8
Home,21,Online,ZK121J01D-A11@8.1,2NA22S0A0-C11@1.1,GS122O0G0-Q11@12.1,NI121J086-N11@16,TI122O013-K12@7,NI121J088-M11@10,PU142G05Q-M11@10.1,QS121J044-J11@12.1,NI122O0D4-C11@1.1,PO222O05F-C11@7
Home,21,Online,M0M22O0B5-Q11@7,4BE22O03S-C11@10,ZK121J01D-A11@8.1,TO222D03U-K13@10,GU122O0AD-M11@9,2NA22S08D-M11@1.1,NA621J020-C11@10,OD142G00W-K11@10,PU142G05Q-M11@10.1,TO222P04H-K11@10
